Participant Number,"Which session number is this for you?
",Session Type,"Session experience (1-Low, 5-High)
.Stress level","Session experience (1-Low, 5-High)
.Attention","Session experience (1-Low, 5-High)
.Robot movement predictability","Session experience (1-Low, 5-High)
.Excitement","What caused stress for you?
","How mentally demanding was the task?
","How hurried or rushed was the pace of the task?
","How hard did you have to work to accomplish your level of performance?
","How insecure, discouraged, irritated, stressed and annoyed were you?
","How successful were you in accomplishing what you needed to do? (1-Failure, 20-Perfect)
"
e1,1,a,1,2,5,1,The cameras;,1,1,1,4,20
e1,2,e,2,3,3,2,The amount of blocks;The cameras;,3,3,3,2,19
e1,3,g,1,2,4,2,Nothing caused stress;,2,4,3,3,20
e1,4,h,3,5,4,5,Speed of robot(s);,10,15,8,10,19
e1,5,d,3,4,4,3,Nothing caused stress;,4,5,5,3,20
e1,6,c,3,3,5,3,Nothing caused stress;,4,4,3,7,20
e1,7,b,2,2,5,2,Nothing caused stress;,3,3,3,5,20
e1,8,f,3,4,4,3,Nothing caused stress;,4,5,3,7,20
,,,,,,,,,,,,
E2,1,f,1,3,4,2,Nothing caused stress,3,5,1,1,20
E2,2,b,1,4,5,1,Nothing caused stress,1,1,1,1,20
E2,3,a ,1,4,5,1,Nothing caused stress,1,1,1,1,20
E2,4,c,1,4,5,1,Nothing caused stress,1,1,1,1,20
E2,5,d,1,5,5,1,Nothing caused stress,3,3,2,1,20
E2,6,h,1,5,4,1,Nothing caused stress,5,5,4,1,20
E2,7,g,1,4,5,1,Nothing caused stress,1,1,2,1,20
E2,8,e,1,5,5,1,Nothing caused stress,2,2,1,1,20
,,,,,,,,,,,,
e3,2,b,1,5,5,2,Nothing caused stress;,1,1,1,1,20
e3,3,f,1,5,5,1,The amount of blocks;,3,5,5,1,20
e3,4,h ,1,5,5,1,The amount of blocks;,7,8,8,1,20
e3,5,c,1,5,5,1,Nothing caused stress;,4,1,1,1,20
e3,6,a ,1,5,5,1,Nothing caused stress;,1,1,1,1,20
e3,7,d,1,5,5,1,The amount of blocks;,2,2,2,1,20
e3,8,e ,1,5,5,1,The amount of blocks;,6,5,4,1,20
,,,,,,,,,,,,
E4,1,h,4,4,4,4,The sound of the robot(s);Speed of robot(s);The amount of blocks;,13,18,16,17,19
E4,2,c,2,3,5,3,The sound of the robot(s);Sound of the lego blocks;,10,9,9,6,20
E4,3,e,3,3,4,2,Speed of robot(s);Predictability of robot(s);The sound of the robot(s);Sound of the lego blocks;,13,10,12,9,19
E4,4,d,2,2,4,2,The sound of the robot(s);Speed of robot(s);Predictability of robot(s);,6,7,5,6,20
