,Feature Number,X Disp,Y Disp,X Abs,Y Abs
0,0,72.02756881713867,33.228759765625,4553.88373374939,3765.2346801757812
1,1,76.19931221008301,39.19975280761719,4891.059894561768,4343.504829406738
2,2,73.01410675048828,36.37531280517578,4657.150526046753,4066.819725036621
3,3,76.60454750061035,34.771461486816406,4869.571294784546,4279.735145568848
4,4,77.16768264770508,39.68177795410156,4945.941352844238,4426.476707458496
5,5,77.6835823059082,38.125953674316406,4942.352628707886,4402.149353027344
6,6,77.8425407409668,30.81829071044922,4863.973617553711,4136.397857666016
7,7,70.13091087341309,16.91486358642578,4389.085235595703,3570.0777435302734
8,8,78.6925220489502,30.72193145751953,4885.926475524902,4099.32186126709
9,9,79.56602096557617,30.798873901367188,4934.167613983154,4150.143508911133
10,10,82.63177871704102,17.869911193847656,5022.487163543701,3826.346855163574
11,11,71.78930282592773,32.51697540283203,4536.400079727173,3707.929801940918
12,12,71.30558967590332,31.874732971191406,4505.263767242432,3654.8373794555664
13,13,70.58435440063477,31.49463653564453,4465.219430923462,3627.2990798950195
14,14,70.45669555664062,30.945281982421875,4456.267690658569,3567.9283142089844
15,15,70.37635803222656,30.072479248046875,4456.05975151062,3526.8783569335938
16,16,70.09632110595703,28.91387939453125,4441.164808273315,3469.3636322021484
17,17,69.38132286071777,27.579307556152344,4399.619207382202,3398.3517837524414
18,18,67.35065460205078,26.068038940429688,4291.632585525513,3333.9654541015625
19,19,75.29122352600098,38.11393737792969,4820.761013031006,4245.372123718262
20,20,72.92178153991699,35.66246032714844,4697.002744674683,4118.790550231934
21,21,60.41593551635742,5.268211364746094,3946.4998054504395,3186.1198806762695
22,22,71.08237266540527,22.489013671875,4489.540271759033,3633.1932067871094
23,23,70.54135322570801,21.05274200439453,4448.571996688843,3614.1462326049805
24,24,69.53985214233398,19.868736267089844,4397.808208465576,3603.1262969970703
25,25,68.79127979278564,16.880722045898438,4322.75984287262,3522.815361022949
26,26,71.66075706481934,23.89202117919922,4536.112432479858,3675.696029663086
27,27,71.37595653533936,23.5272216796875,4505.858016014099,3799.926071166992
28,28,71.59930229187012,23.754730224609375,4542.184438705444,3813.789405822754
29,29,70.99624156951904,22.70366668701172,4462.009634971619,3758.9857864379883
30,30,70.24503707885742,21.239395141601562,4414.71004486084,3699.0940856933594
31,31,65.7668924331665,17.24132537841797,4214.432301521301,3488.2906341552734
32,32,62.380828857421875,22.540817260742188,4038.716239929199,3169.718780517578
33,33,69.54763412475586,15.349655151367188,4360.148735046387,3528.680000305176
34,34,56.140122413635254,8.512725830078125,3773.2445669174194,3113.575553894043
35,35,62.997708320617676,16.582984924316406,4088.0249547958374,3444.721794128418
36,36,67.64908790588379,25.614166259765625,4380.878105163574,3694.9694442749023
37,37,70.2751350402832,32.52979278564453,4495.132484436035,3767.331199645996
38,38,69.46741104125977,31.123428344726562,4431.1231899261475,3627.4742889404297
39,39,67.86993026733398,31.014404296875,4387.305364608765,3644.6215057373047
40,40,66.33444786071777,29.645729064941406,4302.264089584351,3514.442481994629
41,41,67.39282608032227,30.21678924560547,4343.260545730591,3557.5280380249023
42,42,66.01189613342285,29.375457763671875,4269.742870330811,3480.3762817382812
43,43,63.230323791503906,25.22613525390625,4105.545959472656,3235.150146484375
44,44,75.17958641052246,38.51856231689453,4854.465265274048,4319.268035888672
45,45,76.0385799407959,38.61198425292969,4901.134471893311,4390.085411071777
46,46,67.91150093078613,23.979110717773438,4344.325475692749,3794.426727294922
47,47,71.13075256347656,26.13658905029297,4550.797548294067,3770.2835083007812
48,48,70.00960350036621,30.949058532714844,4589.892425537109,3930.8405685424805
49,49,69.97641563415527,30.121002197265625,4577.439737319946,3901.473808288574
50,50,63.61607551574707,20.96221923828125,4179.031076431274,3503.0226516723633
51,51,76.36885643005371,37.090415954589844,4894.579668045044,4362.702865600586
52,52,73.2093858718872,27.975730895996094,4619.211001396179,4028.15242767334
53,53,70.78136444091797,26.02062225341797,4494.112844467163,3925.699119567871
54,54,64.73021507263184,7.050914764404297,4183.0772495269775,3374.8930168151855
55,55,76.93038940429688,30.930213928222656,4817.932720184326,4104.368362426758
56,56,71.91109657287598,23.705711364746094,4567.64986038208,3800.706100463867
57,57,63.20672035217285,26.29741668701172,4106.650257110596,3294.742012023926
58,58,48.712778091430664,10.025291442871094,3442.6675987243652,2607.434196472168
59,59,70.38494110107422,31.57501220703125,4589.926500320435,3926.4247131347656
60,60,71.3624095916748,33.00556182861328,4612.305850982666,3994.0914916992188
61,61,63.71237754821777,28.208580017089844,4152.431573867798,3316.7954635620117
62,62,63.853139877319336,28.365707397460938,4157.055187225342,3339.5726776123047
63,63,69.9142599105835,25.49663543701172,4456.176323890686,3902.0856857299805
64,64,69.26788330078125,29.71485137939453,4531.308431625366,3838.9365005493164
